ctag	en	en_female
MSGINSTANT_BUILDER_ACQUIRED_FITNESSCENTRE	DEVELOPMENT¦Alright guv! We've finished putting together your FITNESS CENTRE. You can now hire a FITNESS coach and start improving player STRENGTH and PACE attributes. Not my area of expertise, but the lads tell me that could be really useful.	DEVELOPMENT¦Alright guv! We've finished putting together your FITNESS CENTRE. You can now hire a FITNESS coach and start improving player STRENGTH and PACE attributes. Not my area of expertise, but the lads tell me that could be really useful.
MSGINSTANT_BUILDER_ACQUIRED_MEDICALUNIT	DEVELOPMENT¦Alright guv! We've just put the finishing touches on your new MEDICAL UNIT. I'm no expert, but the lads tell me you can now hire a PHYSIO who will help injured players to recover quicker.	DEVELOPMENT¦Alright guv! We've just put the finishing touches on your new MEDICAL UNIT. I'm no expert, but the lads tell me you can now hire a PHYSIO who will help injured players to recover quicker.
MSGINSTANT_BUILDER_ACQUIRED_SCOUTSOFFICE	DEVELOPMENT¦Alright guv! Your new SCOUT OFFICE is ready! You can now recruit a SCOUT who will seek out potential transfer targets for you to sign.	DEVELOPMENT¦Alright guv! Your new SCOUT OFFICE is ready! You can now recruit a SCOUT who will seek out potential transfer targets for you to sign.
MSGINSTANT_BUILDER_ACQUIRED_TRAININGGROUNDLEVEL2	DEVELOPMENT¦Alright guv! With a level 2 TRAINING GROUND you are able to increase a player's preferred positions with ADD SIDE cards, whatever that means.	DEVELOPMENT¦Alright guv! With a level 2 TRAINING GROUND you are able to increase a player's preferred positions with ADD SIDE cards, whatever that means.
MSGINSTANT_BUILDER_ACQUIRED_UPGRADE	DEVELOPMENT¦Alright guv! Your $facilityname has been upgraded. The lads have done a lovely job. Anyway, it's all ready for you to use now.	DEVELOPMENT¦Alright guv! Your $facilityname has been upgraded. The lads have done a lovely job. Anyway, it's all ready for you to use now.
MSGINSTANT_BUILDER_ACQUIRED_STADIUMT6	DEVELOPMENT¦Alright guv! Your maximum stadium upgrade is complete. The lads have done a lovely job. Anyway, it's all ready for you to use now.	DEVELOPMENT¦Alright guv! Your maximum stadium upgrade is complete. The lads have done a lovely job. Anyway, it's all ready for you to use now.
MSGINSTANT_BUILDER_ACQUIRED_YOUTHACADEMY	DEVELOPMENT¦Alright guv! Your YOUTH ACADEMY is all done. Apparently you can now hire a YOUTH COACH and start bringing new talent into the squad.	DEVELOPMENT¦Alright guv! Your YOUTH ACADEMY is all done. Apparently you can now hire a YOUTH COACH and start bringing new talent into the squad.
MSGINSTANT_CHAIRMAN_TRANSFEROFFER	MESSAGE¦As the chairman of $offerclubname, I'd like to tender a bid of $cashamount for $playername. I think this is a reasonable offer and hope you'll give it serious consideration.	MESSAGE¦As the chairman of $offerclubname, I'd like to tender a bid of $cashamount for $playername. I think this is a reasonable offer and hope you'll give it serious consideration.
MSGINSTANT_CHAIRMAN_TRANSFEROFFER_BOARDSELL	I understand the $clubname FC board think you should sell.	I understand the $clubname FC board think you should sell.
MSGINSTANT_CHAIRMAN_TRANSFEROFFER_FANFAVE	I hear that the player is popular with the $clubname FC fans. 	I hear that the player is popular with the $clubname FC fans. 
MSGINSTANT_CHAIRMAN_TRANSFEROFFER_PLAYERKEEN	I'm told the player is keen to move.	I'm told the player is keen to move.
MSGINSTANT_CHAIRMAN_TRANSFEROFFER_PLAYERPOPULAR	I hear that the player is popular amongst the $clubname FC squad.	I hear that the player is popular amongst the $clubname FC squad.
MSGINSTANT_CHAIRMAN_TRANSFEROFFER_PLAYERUNPOPULAR	I hear that the player is unpopular with the $clubname FC squad.	I hear that the player is unpopular with the $clubname FC squad.
MSGINSTANT_CHAIRMAN_TRANSFEROFFER_WITHDRAWN	MESSAGE¦As chairman of $offerclubname, I'm informing you of the withdrawal of our offer for $playername.	MESSAGE¦As chairman of $offerclubname, I'm informing you of the withdrawal of our offer for $playername.
MSGINSTANT_PERSON_CARDFAIL_DOESNTHAVESKILL	MESSAGE¦You can't play that on me, I don't have that skill.	MESSAGE¦You can't play that on me, I don't have that skill.
MSGINSTANT_PERSON_CARDFAIL_NOTRIGHTQUALITY	MESSAGE¦You can't play that on me. To improve a player's skills, you need to play a card equal to or better than their quality. For example, to improve a bronze player, you'll need to play a bronze, silver, gold or black skill card.	MESSAGE¦You can't play that on me. To improve a player's skills, you need to play a card equal to or better than their quality. For example, to improve a bronze player, you'll need to play a bronze, silver, gold or black skill card.
MSGINSTANT_PERSON_CARDFAIL_RETIRED	MESSAGE¦You can't play that on me, I've retired.	MESSAGE¦You can't play that on me, I've retired.
MSGINSTANT_PERSON_INCIDENT_MAJOR_ALCOHOL1	INCIDENT¦$playername $fill_missedtraining Some of the other players said they could smell alcohol on his breath.	INCIDENT¦$playername $fill_missedtraining Some of the other players said they could smell alcohol on his breath.
MSGINSTANT_PERSON_INCIDENT_MAJOR_DOPING1	INCIDENT¦$playername $fill_missedtraining His excuse was that he overworked himself in the gym and couldn't get off the couch.	INCIDENT¦$playername $fill_missedtraining His excuse was that he overworked himself in the gym and couldn't get off the couch.
MSGINSTANT_PERSON_INCIDENT_MAJOR_DRUGS1	INCIDENT¦$playername $fill_missedtraining When he finally appeared, he looked bleary eyed and shifty.	INCIDENT¦$playername $fill_missedtraining When he finally appeared, he looked bleary eyed and shifty.
MSGINSTANT_PERSON_INCIDENT_MAJOR_GAMBLING1	INCIDENT¦$playername $fill_missedtraining Apparently he was spotted in the betting shop earlier today.	INCIDENT¦$playername $fill_missedtraining Apparently he was spotted in the betting shop earlier today.
MSGINSTANT_PERSON_INCIDENT_MAJOR_SEXADDICT1	INCIDENT¦$playername $fill_missedtraining Apparently he was out partying all night.	INCIDENT¦$playername $fill_missedtraining Apparently he was out partying all night.
MSGINSTANT_PERSON_INCIDENT_MAJOR_VIOLENT1	INCIDENT¦$playername was involved in a training ground bust up today. He was totally in the wrong and had to be calmed down.	INCIDENT¦$playername was involved in a training ground bust up today. He was totally in the wrong and had to be calmed down.
MSGINSTANT_PERSON_INCIDENT_MAJOR_VIOLENT2	INCIDENT¦$playername started a heated argument during training today. He had to be sent home early to cool off.	INCIDENT¦$playername started a heated argument during training today. He had to be sent home early to cool off.
MSGINSTANT_PERSON_INCIDENT_MAJOR_VIOLENT3	INCIDENT¦$playername made several rash challenges during training today. He could have injured a team mate.	INCIDENT¦$playername made several rash challenges during training today. He could have injured a team mate.
MSGINSTANT_PERSON_INCIDENT_MINOR_DAYOFF_PET1	INCIDENT¦$playername needs to take his $pettype to the vet. Can he have the day off training?	INCIDENT¦$playername needs to take his $pettype to the vet. Can he have the day off training?
MSGINSTANT_PERSON_INCIDENT_MINOR_DAYOFF_PET2	INCIDENT¦$playername's $pettype '$petname' is sick. Can he have the day off training?	INCIDENT¦$playername's $pettype '$petname' is sick. Can he have the day off training?
MSGINSTANT_PERSON_INCIDENT_MINOR_DAYOFF_HOBBY1	INCIDENT¦Apparently there's a really cool '$hobby' conference taking place today. Can $playername have the day off training?	INCIDENT¦Apparently there's a really cool '$hobby' conference taking place today. Can $playername have the day off training?
MSGINSTANT_PERSON_INCIDENT_MINOR_DAYOFF_HOBBY2	INCIDENT¦There's <an> '$hobby' event that $playername wants to take part in. Can he have the day off training?	INCIDENT¦There's <an> '$hobby' event that $playername wants to take part in. Can he have the day off training?
MSGINSTANT_PERSON_INCIDENT_MINOR_DAYOFF_MUSIC1	INCIDENT¦Can $playername skip training this afternoon? He needs to get to <an> '$musictaste' gig tonight.	INCIDENT¦Can $playername skip training this afternoon? He needs to get to <an> '$musictaste' gig tonight.
MSGINSTANT_PERSON_INCIDENT_MINOR_DAYOFF_MUSIC2	INCIDENT¦There's <an> '$musictaste' concert on tonight. Can $playername skip training this afternoon to set off early?	INCIDENT¦There's <an> '$musictaste' concert on tonight. Can $playername skip training this afternoon to set off early?
MSGINSTANT_PERSON_INCIDENT_MINOR_LATE_FAMILY1	INCIDENT¦$playername $fill_latefortraining He had to take his $randomfamilymember to hospital.	INCIDENT¦$playername $fill_latefortraining He had to take his $randomfamilymember to hospital.
MSGINSTANT_PERSON_INCIDENT_MINOR_LATE_FAMILY2	INCIDENT¦$playername $fill_latefortraining His $randomfamilymember was sick apparently.	INCIDENT¦$playername $fill_latefortraining His $randomfamilymember was sick apparently.
MSGINSTANT_PERSON_INCIDENT_MINOR_LATE_FAMILY3	INCIDENT¦$playername $fill_latefortraining His $randomfamilymember's car broke down.	INCIDENT¦$playername $fill_latefortraining His $randomfamilymember's car broke down.
MSGINSTANT_PERSON_INCIDENT_MINOR_LATE_FAMILY4	INCIDENT¦$playername $fill_latefortraining Apparently his $randomfamilymember needed an urgent favour.	INCIDENT¦$playername $fill_latefortraining Apparently his $randomfamilymember needed an urgent favour.
MSGINSTANT_PERSON_INCIDENT_MINOR_LATE_FAMILY5	INCIDENT¦$playername $fill_latefortraining His $randomfamilymember needed a lift to work and they got stuck in traffic.	INCIDENT¦$playername $fill_latefortraining His $randomfamilymember needed a lift to work and they got stuck in traffic.
MSGINSTANT_PERSON_INCIDENT_MINOR_LATE_HOBBY1	INCIDENT¦$playername $fill_latefortraining He lost track of time talking to a fan about his '$hobby' hobby.	INCIDENT¦$playername $fill_latefortraining He lost track of time talking to a fan about his '$hobby' hobby.
MSGINSTANT_PERSON_INCIDENT_MINOR_LATE_HOBBY2	INCIDENT¦$playername $fill_latefortraining He got distracted chatting online about his '$hobby' hobby with a fellow enthusiast.	INCIDENT¦$playername $fill_latefortraining He got distracted chatting online about his '$hobby' hobby with a fellow enthusiast.
MSGINSTANT_PERSON_INCIDENT_MINOR_LATE_MUSIC1	INCIDENT¦$playername $fill_latefortraining Apparently he was out late last night at <an> '$musictaste' concert.	INCIDENT¦$playername $fill_latefortraining Apparently he was out late last night at <an> '$musictaste' concert.
MSGINSTANT_PERSON_INCIDENT_MINOR_LATE_MUSIC2	INCIDENT¦$playername $fill_latefortraining He was at <an> '$musictaste' music gig last night and got back late.	INCIDENT¦$playername $fill_latefortraining He was at <an> '$musictaste' music gig last night and got back late.
MSGINSTANT_PERSON_INCIDENT_MINOR_LATE_PET1	INCIDENT¦$playername $fill_latefortraining He said he had to take his $pettype '$petname' to the vet.	INCIDENT¦$playername $fill_latefortraining He said he had to take his $pettype '$petname' to the vet.
MSGINSTANT_PERSON_INCIDENT_MINOR_LATE_PET2	INCIDENT¦$playername $fill_latefortraining Apparently his pet $pettype '$petname' is sick.	INCIDENT¦$playername $fill_latefortraining Apparently his pet $pettype '$petname' is sick.
MSGINSTANT_PERSON_INCIDENT_MINOR_LATE_GENERAL1	INCIDENT¦$playername $fill_latefortraining He made some feeble excuse about the traffic.	INCIDENT¦$playername $fill_latefortraining He made some feeble excuse about the traffic.
MSGINSTANT_PERSON_INCIDENT_MINOR_LATE_GENERAL2	INCIDENT¦$playername $fill_latefortraining He refused to give an explanation.	INCIDENT¦$playername $fill_latefortraining He refused to give an explanation.
MSGINSTANT_PERSON_INCIDENT_MINOR_LATE_GENERAL3	INCIDENT¦$playername $fill_latefortraining He said he had a family issue that he had to deal with.	INCIDENT¦$playername $fill_latefortraining He said he had a family issue that he had to deal with.
MSGINSTANT_PERSON_INCIDENT_MINOR_LATE_GENERAL4	INCIDENT¦$playername $fill_latefortraining He wouldn't tell anyone the reason why.	INCIDENT¦$playername $fill_latefortraining He wouldn't tell anyone the reason why.
MSGINSTANT_PERSON_INCIDENT_MINOR_LATE_GENERAL5	INCIDENT¦$playername $fill_latefortraining When asked why he was late, he just walked off.	INCIDENT¦$playername $fill_latefortraining When asked why he was late, he just walked off.
MSGINSTANT_PERSON_INCIDENT_FILL_MISSEDTRAINING1	missed training today.	missed training today.
MSGINSTANT_PERSON_INCIDENT_FILL_MISSEDTRAINING2	didn't turn up for training this morning.	didn't turn up for training this morning.
MSGINSTANT_PERSON_INCIDENT_FILL_MISSEDTRAINING3	never turned up for training today.	never turned up for training today.
MSGINSTANT_PERSON_INCIDENT_FILL_MISSEDTRAINING4	completely missed a training session.	completely missed a training session.
MSGINSTANT_PERSON_INCIDENT_FILL_MISSEDTRAINING5	failed to show up for training, boss.	failed to show up for training, boss.
MSGINSTANT_PERSON_INCIDENT_FILL_LATEFORTRAINING1	was late for training this morning.	was late for training this morning.
MSGINSTANT_PERSON_INCIDENT_FILL_LATEFORTRAINING2	turned up late for a training session today.	turned up late for a training session today.
MSGINSTANT_PERSON_INCIDENT_FILL_LATEFORTRAINING3	arrived 30 minutes late for training today.	arrived 30 minutes late for training today.
MSGINSTANT_PERSON_INCIDENT_FILL_LATEFORTRAINING4	arrived halfway through a training session.	arrived halfway through a training session.
MSGINSTANT_PERSON_INCIDENT_FILL_LATEFORTRAINING5	failed to arrive on time for training.	failed to arrive on time for training.
MSGINSTANT_PERSON_MEETINGDISCUSSANNOYED1	MEETING¦What do you want to talk about?	MEETING¦What do you want to talk about?
MSGINSTANT_PERSON_MEETINGDISCUSSANNOYED2	MEETING¦What do you want?	MEETING¦What do you want?
MSGINSTANT_PERSON_MEETINGDISCUSSANNOYED3	MEETING¦Oh, it's you. What now?	MEETING¦Oh, it's you. What now?
MSGINSTANT_PERSON_MEETINGDISCUSSOK1	MEETING¦Hello boss, what would you like to talk about?	MEETING¦Hello boss, what would you like to talk about?
MSGINSTANT_PERSON_MEETINGDISCUSSOK2	MEETING¦Hey boss, what's up?	MEETING¦Hey boss, what's up?
MSGINSTANT_PERSON_MEETINGDISCUSSOK3	MEETING¦Hi boss. What's on your mind?	MEETING¦Hi boss. What's on your mind?
MSGINSTANT_PERSON_MEETINGDISCUSSUPSET1	MEETING¦Hello. What would you like to talk about?	MEETING¦Hello. What would you like to talk about?
MSGINSTANT_PERSON_MEETINGDISCUSSUPSET2	MEETING¦Hello boss. What's this about?	MEETING¦Hello boss. What's this about?
MSGINSTANT_PERSON_MEETINGDISCUSSUPSET3	MEETING¦You wanted to see me?	MEETING¦You wanted to see me?
MSGINSTANT_PERSON_MEETINGGOOD1	MEETING¦Thanks boss. I feel bit happier after that meeting.	MEETING¦Thanks boss. I feel bit happier after that meeting.
MSGINSTANT_PERSON_MEETINGGOOD2	MEETING¦It was good to talk boss. I a bit feel happier about things now.	MEETING¦It was good to talk boss. I a bit feel happier about things now.
MSGINSTANT_PERSON_MEETINGGOOD3	MEETING¦Great meeting boss. I feel more positive now.	MEETING¦Great meeting boss. I feel more positive now.
MSGINSTANT_PERSON_MEETINGGOOD4	MEETING¦Thanks for the meeting boss. I feel a bit better now.	MEETING¦Thanks for the meeting boss. I feel a bit better now.
MSGINSTANT_PERSON_MEETINGGOOD5	MEETING¦Good chat boss.	MEETING¦Good chat boss.
MSGINSTANT_PERSON_MEETINGNOTNEEDED	MEETING¦Hi boss. I'm very happy at the moment. Thanks for asking!	MEETING¦Hi boss. I'm very happy at the moment. Thanks for asking!
MSGINSTANT_PERSON_NONEGOTIATE_CONTRACTCARD	NEGOTIATION¦You are unable to increase this person's CONTRACT until you address certain concerns.	NEGOTIATION¦You are unable to increase this person's CONTRACT until you address certain concerns.
MSGINSTANT_PERSON_NONEGOTIATE_DEVELOPMENT	NEGOTIATION¦$personname does not want to negotiate a contract at this time, due to some DEVELOPMENT concerns which you have so far ignored.	NEGOTIATION¦$personname does not want to negotiate a contract at this time, due to some DEVELOPMENT concerns which you have so far ignored.
MSGINSTANT_PERSON_NONEGOTIATE_FORM	NEGOTIATION¦$personname does not want to negotiate a contract at this time, due to concerns about recent team FORM.	NEGOTIATION¦$personname does not want to negotiate a contract at this time, due to concerns about recent team FORM.
MSGINSTANT_PERSON_NONEGOTIATE_MANAGEMENT	NEGOTIATION¦$personname does not want to negotiate a contract at this time, due to concerns about your MANAGEMENT.	NEGOTIATION¦$personname does not want to negotiate a contract at this time, due to concerns about your MANAGEMENT.
MSGINSTANT_PERSON_NONEGOTIATE_RETIRING	NEGOTIATION¦I have decided that I'm going to retire when my contract runs out.	NEGOTIATION¦I have decided that I'm going to retire when my contract runs out.
MSGINSTANT_PERSON_NRGCARDINJURED	MESSAGE¦No thanks, boss. Save it for when I'm fit.	MESSAGE¦No thanks, boss. Save it for when I'm fit.
MSGINSTANT_PERSON_NRGCARDNOTNEEDED	MESSAGE¦I'm currently full of NRG, boss. Save that for someone else!	MESSAGE¦I'm currently full of NRG, boss. Save that for someone else!
MSGINSTANT_PHYSIO_HEALINGCARD_TOOSOON	MESSAGE¦You cannot use another TREATMENT card on this player until after the next match.	MESSAGE¦You cannot use another TREATMENT card on this player until after the next match.
MSGINSTANT_PHYSIO_HEALINGCARD_UNINJURED	MESSAGE¦This player is not currently injured.	MESSAGE¦This player is not currently injured.
MSGINSTANT_PHYSIO_INJUREDINMATCH	MESSAGE¦The following players were injured in the match: $players.	MESSAGE¦The following players were injured in the match: $players.
MSGINSTANT_PHYSIO_INJUREDINMATCH0	MESSAGE¦$playername took a knock but he will recover in time for the next match.	MESSAGE¦$playername took a knock but he will recover in time for the next match.
MSGINSTANT_PHYSIO_INJUREDINMATCH1	MESSAGE¦$playername was injured in the match ($injury) and will likely miss 1 match.	MESSAGE¦$playername was injured in the match ($injury) and will likely miss 1 match.
MSGINSTANT_PHYSIO_INJUREDINMATCHX	MESSAGE¦$playername was injured in the match ($injury) and will likely miss $num matches.	MESSAGE¦$playername was injured in the match ($injury) and will likely miss $num matches.
MSGINSTANT_OTHERPLAYER_CARDFAIL_NOTINSQUAD	MESSAGE¦You can't play that on me, I'm not in your squad.	MESSAGE¦You can't play that on me, I'm not in your squad.
MSGINSTANT_REPORTER_NEWS_MANAGEROFMONTH_PLAYER	SPORTS NEWS¦$managername takes home this month's Manager of the Month award.	SPORTS NEWS¦$managername takes home this month's Manager of the Month award.
MSGINSTANT_REPORTER_NEWS_PRESSCONFQ_FAIL	SPORTS NEWS¦$managername was unable to answer the most basic of questions in a press conference today.	SPORTS NEWS¦$managername was unable to answer the most basic of questions in a press conference today.
TWEET_PRESS_RANDOMCLUBBOOST1	$otherclubname have been taken over by a billionaire businessman.	$otherclubname have been taken over by a billionaire businessman.
TWEET_PRESS_RANDOMCLUBBOOST10	The $otherclubname manager has taken the squad away to a beach resort.	The $otherclubname manager has taken the squad away to a beach resort.
TWEET_PRESS_RANDOMCLUBBOOST11	The chairman of $otherclubname has publicly stated that they will not be selling any of their key players.	The chairman of $otherclubname has publicly stated that they will not be selling any of their key players.
TWEET_PRESS_RANDOMCLUBBOOST12	$otherclubname have announced record breaking profits over the past 12 months.	$otherclubname have announced record breaking profits over the past 12 months.
TWEET_PRESS_RANDOMCLUBBOOST13	The manager of $otherclubname declared that his wife knows more about football than the clowns in authority.	The manager of $otherclubname declared that his wife knows more about football than the clowns in authority.
TWEET_PRESS_RANDOMCLUBBOOST14	The $otherclubname manager revealed the the players recently enjoyed a boogie during a team dinner.	The $otherclubname manager revealed the the players recently enjoyed a boogie during a team dinner.
TWEET_PRESS_RANDOMCLUBBOOST15	The chairman of $otherclubname has revealed that they have hired a top chef in the club canteen.	The chairman of $otherclubname has revealed that they have hired a top chef in the club canteen.
TWEET_PRESS_RANDOMCLUBBOOST2	$otherclubname have recruited a renowned head scout as they attempt to restructure their scouting system.	$otherclubname have recruited a renowned head scout as they attempt to restructure their scouting system.
TWEET_PRESS_RANDOMCLUBBOOST3	$otherclubname have invested heavily in their youth scheme and have upgraded their training facilities.	$otherclubname have invested heavily in their youth scheme and have upgraded their training facilities.
TWEET_PRESS_RANDOMCLUBBOOST4	$otherclubname have signed a lucrative deal with a new sponsor.	$otherclubname have signed a lucrative deal with a new sponsor.
TWEET_PRESS_RANDOMCLUBBOOST5	$otherclubname have been praised by league officials for the way the club's finances have been managed.	$otherclubname have been praised by league officials for the way the club's finances have been managed.
TWEET_PRESS_RANDOMCLUBBOOST6	$otherclubname have been praised for their outstanding contributions to various charities.	$otherclubname have been praised for their outstanding contributions to various charities.
TWEET_PRESS_RANDOMCLUBBOOST7	The $otherclubname squad was photographed on the training ground today in a group hug!	The $otherclubname squad was photographed on the training ground today in a group hug!
TWEET_PRESS_RANDOMCLUBBOOST8	The $otherclubname manager decided that instead of training today the squad would spend the day at the funfair!	The $otherclubname manager decided that instead of training today the squad would spend the day at the funfair!
TWEET_PRESS_RANDOMCLUBBOOST9	The $otherclubname chairman will give the squad a huge bonus if they finish in a good position.	The $otherclubname chairman will give the squad a huge bonus if they finish in a good position.
TWEET_PRESS_RANDOMCLUBCRISIS1	$otherclubname are in crisis and are suffering severe financial difficulties.	$otherclubname are in crisis and are suffering severe financial difficulties.
TWEET_PRESS_RANDOMCLUBCRISIS10	An incident occurred at the $otherclubname training ground which saw at least 5 players involved in a brawl.	An incident occurred at the $otherclubname training ground which saw at least 5 players involved in a brawl.
TWEET_PRESS_RANDOMCLUBCRISIS11	The manager of $otherclubname has been charged with a drink driving offence.	The manager of $otherclubname has been charged with a drink driving offence.
TWEET_PRESS_RANDOMCLUBCRISIS12	The manager of $otherclubname has been given a touchline ban after his angry post-match comments.	The manager of $otherclubname has been given a touchline ban after his angry post-match comments.
TWEET_PRESS_RANDOMCLUBCRISIS13	The manager of $otherclubname will appear in court this week to face allegations of tax fraud.	The manager of $otherclubname will appear in court this week to face allegations of tax fraud.
TWEET_PRESS_RANDOMCLUBCRISIS14	A number of $otherclubname players have been struck down with flu recently.	A number of $otherclubname players have been struck down with flu recently.
TWEET_PRESS_RANDOMCLUBCRISIS15	Training had to be abandoned at $otherclubname yesterday after a burst water pipe flooded the changing rooms.	Training had to be abandoned at $otherclubname yesterday after a burst water pipe flooded the changing rooms.
TWEET_PRESS_RANDOMCLUBCRISIS2	$otherclubname fans have been protesting outside of the ground demanding changes in the boardroom.	$otherclubname fans have been protesting outside of the ground demanding changes in the boardroom.
TWEET_PRESS_RANDOMCLUBCRISIS3	$otherclubname are in danger of being docked points for breaching transfer market regulations.	$otherclubname are in danger of being docked points for breaching transfer market regulations.
TWEET_PRESS_RANDOMCLUBCRISIS4	$otherclubname fans have been accused of making abusive chants in a recent game.	$otherclubname fans have been accused of making abusive chants in a recent game.
TWEET_PRESS_RANDOMCLUBCRISIS5	A group of $otherclubname players are currently being questioned by police after a nightclub brawl.	A group of $otherclubname players are currently being questioned by police after a nightclub brawl.
TWEET_PRESS_RANDOMCLUBCRISIS6	$otherclubname are said to be in crisis due to excessive player wages that are crippling the club's finances.	$otherclubname are said to be in crisis due to excessive player wages that are crippling the club's finances.
TWEET_PRESS_RANDOMCLUBCRISIS7	Backroom staff at $otherclubname have walked out on the club after a disagreement over wages.	Backroom staff at $otherclubname have walked out on the club after a disagreement over wages.
TWEET_PRESS_RANDOMCLUBCRISIS8	There are rumours that $otherclubname players are unhappy with the demanding training schedule.	There are rumours that $otherclubname players are unhappy with the demanding training schedule.
TWEET_PRESS_RANDOMCLUBCRISIS9	Several $otherclubname players have been hit by a mysterious stomach bug after eating the canteen lasagne.	Several $otherclubname players have been hit by a mysterious stomach bug after eating the canteen lasagne.
MSGINSTANT_REPORTER_NEWS_RESULT_3ASSISTSORMORE1	SPORTS NEWS¦$playername was a worthy man of the match for $myteamname after providing $numassists assists against $oppteamname.	SPORTS NEWS¦$playername was a worthy man of the match for $myteamname after providing $numassists assists against $oppteamname.
MSGINSTANT_REPORTER_NEWS_RESULT_3ASSISTSORMORE2	SPORTS NEWS¦The creative $playername provided an incredible $numassists assists for $myteamname in an exciting game against $oppteamname.	SPORTS NEWS¦The creative $playername provided an incredible $numassists assists for $myteamname in an exciting game against $oppteamname.
MSGINSTANT_REPORTER_NEWS_RESULT_3ASSISTSORMORE3	SPORTS NEWS¦$playername took his assist tally to $assisttally in $apps appearances this season after laying on $numassists against $oppteamname.	SPORTS NEWS¦$playername took his assist tally to $assisttally in $apps appearances this season after laying on $numassists against $oppteamname.
MSGINSTANT_REPORTER_NEWS_RESULT_4GOALSORMORE1	SPORTS NEWS¦$playername hit a incredible $numgoals in a thrilling game against $oppteamname. That brings his goal tally up to $goaltally in $apps.	SPORTS NEWS¦$playername hit a incredible $numgoals in a thrilling game against $oppteamname. That brings his goal tally up to $goaltally in $apps.
MSGINSTANT_REPORTER_NEWS_RESULT_4GOALSORMORE2	SPORTS NEWS¦Goal machine! $playername scored an amazing $numgoals goals against $oppteamname. The $myteamname fans were chanting his name long after the final whistle.	SPORTS NEWS¦Goal machine! $playername scored an amazing $numgoals goals against $oppteamname. The $myteamname fans were chanting his name long after the final whistle.
MSGINSTANT_REPORTER_NEWS_RESULT_4GOALSORMORE3	SPORTS NEWS¦$playername took his goal tally to $goaltally in $apps appearances this season after smashing in $numgoals against $oppteamname.	SPORTS NEWS¦$playername took his goal tally to $goaltally in $apps appearances this season after smashing in $numgoals against $oppteamname.
MSGINSTANT_REPORTER_NEWS_RESULT_COMPETITIONWINNERS	SPORTS NEWS¦$winningteam have won the $competition!	SPORTS NEWS¦$winningteam have won the $competition!
MSGINSTANT_REPORTER_NEWS_RESULT_CUPSHOCK1	SPORTS NEWS¦$winningteam pulled off the shock result of the round by defeating $losingteam $score1-$score2 in the $competition.	SPORTS NEWS¦$winningteam pulled off the shock result of the round by defeating $losingteam $score1-$score2 in the $competition.
MSGINSTANT_REPORTER_NEWS_RESULT_CUPSHOCK2	SPORTS NEWS¦$losingteam were stunned by $winningteam this week after losing $score1-$score2 in the $competition.	SPORTS NEWS¦$losingteam were stunned by $winningteam this week after losing $score1-$score2 in the $competition.
MSGINSTANT_REPORTER_NEWS_RESULT_CUPSHOCK3	SPORTS NEWS¦Giant killers! $winningteam stunned the nation by defeating $losingteam $score1-$score2 in the $competition this week.	SPORTS NEWS¦Giant killers! $winningteam stunned the nation by defeating $losingteam $score1-$score2 in the $competition this week.
MSGINSTANT_REPORTER_NEWS_RESULT_HATTRICK1	SPORTS NEWS¦$playername hit a stunning hattrick against $oppteamname. His manager must be thrilled with his current form.	SPORTS NEWS¦$playername hit a stunning hattrick against $oppteamname. His manager must be thrilled with his current form.
MSGINSTANT_REPORTER_NEWS_RESULT_HATTRICK2	SPORTS NEWS¦Hattrick hero! $playername hit 3 goals against $oppteamname in a thrilling match. That puts him on $goaltally goals in $apps this season.	SPORTS NEWS¦Hattrick hero! $playername hit 3 goals against $oppteamname in a thrilling match. That puts him on $goaltally goals in $apps this season.
MSGINSTANT_REPORTER_NEWS_RESULT_HATTRICK3	SPORTS NEWS¦$playername took his goal tally to $goaltally in $apps games this season after a fantastic hattrick against $oppteamname.	SPORTS NEWS¦$playername took his goal tally to $goaltally in $apps games this season after a fantastic hattrick against $oppteamname.
MSGINSTANT_REPORTER_NEWS_RESULT_HIGHSCORE1	SPORTS NEWS¦$winningteam beat $losingteam in an amazing $competition match that finished $score1-$score2.	SPORTS NEWS¦$winningteam beat $losingteam in an amazing $competition match that finished $score1-$score2.
MSGINSTANT_REPORTER_NEWS_RESULT_HIGHSCORE2	SPORTS NEWS¦$losingteam were defeated by $winningteam $score1-$score2 in a thrilling match in the $competition.	SPORTS NEWS¦$losingteam were defeated by $winningteam $score1-$score2 in a thrilling match in the $competition.
MSGINSTANT_REPORTER_NEWS_RESULT_HIGHSCORE3	SPORTS NEWS¦Goal fest! $winningteam put $highscore past $losingteam in a stunning match that finished $score1-$score2.	SPORTS NEWS¦Goal fest! $winningteam put $highscore past $losingteam in a stunning match that finished $score1-$score2.
MSGINSTANT_REPORTER_NEWS_RESULT_NEXTCUPOPPONENT	SPORTS NEWS¦$hometeam will face $awayteam in the $competition.	SPORTS NEWS¦$hometeam will face $awayteam in the $competition.
MSGINSTANT_REPORTER_NEWS_RESULT_SHOCKRESULT1	SPORTS NEWS¦$losingteam were pegged back by $winningteam this week who produced a stunning performance to win $score1-$score2.	SPORTS NEWS¦$losingteam were pegged back by $winningteam this week who produced a stunning performance to win $score1-$score2.
